"name","key_mlbam","key_bbref","key_fangraphs"
"Adalberto Mejía",606167,"mejiaad01",13188
"Jason Bourgeois",430652,"bourgja01",2225
"Darnell Sweeney",572182,"sweenda02",13284
"Konner Wade",592831,"wadeko01",14655
"Scott Hurst",656568,"hurstsc01",20501
"Oliver Drake",543118,"drakeol01",8823
"Keury Mella",622492,"mellake01",15964
"Mauricio Cabrera",606291,"cabrema01",12975
"Ben Zobrist",450314,"zobribe01",7435
"Andrew Cashner",488768,"cashnan01",8782
"C. J. Riefenhauser",592677,"riefecj01",11193
"Mike Zagurski",489448,"zagurmi01",9683
"Gerardo Concepción",615868,"concege01",14411
"Bud Norris",502032,"norribu01",9492
"Angel Perdomo",622780,"perdoan01",17759
"Garin Cecchini",594555,"cecchga01",11608
"Tyrell Jenkins",592433,"jenkity01",11378
"Cole Gillespie",502261,"gilleco01",5888
"Scott Schebler",594988,"schebsc01",12225
"Ramón Rosso",665759,"rossora01",20368
"Fernando Tatís",665487,"tatisfe02",19709
"Brandon Mann",448167,"mannbr01",5172
"Peter Bourjos",488721,"bourjpe01",2578
"Seth Frankoff",571676,"frankse01",11346
"Ryan Jackson",474249,"jacksry02",6596
"Jon Duplantier",641541,"duplajo01",19546
"Ryan Feierabend",456387,"feierry01",6336
"Phil Hughes",461833,"hugheph01",7450
"Matt Ramsey",543677,"ramsema01",14460
"Jake Rogers",668670,"rogerja03",19452
"Blaine Hardy",543278,"hardybl01",6499
"Zach Green",608339,"greenza01",14973
"Kent Emanuel",592288,"emanuke01",15849
"Max Moroff",621559,"morofma01",14556
"Humberto Mejía",650668,"mejiahu01",20739
"Howie Kendrick",435062,"kendrho01",4229
"Ricardo Sanchez",645307,"sanchri01",17581
"John Hicks",543308,"hicksjo02",12547
"Emmanuel Burriss",502034,"burriem01",2917
"Mike Napoli",435063,"napolmi01",3057
"Chad Girodo",643325,"girodch01",15542
"Ariel Jurado",642558,"juradar01",17030
"Seth Mejias-Brean",623180,"mejiase01",13905
"Stephen Cardullo",506924,"cardust01",11204
"Delmon Young",430321,"youngde03",2140
"Yunel Escobar",488862,"escobyu01",4191
"Albert Suárez",544150,"suareal01",6175
"Tommy Joseph",571830,"josepto01",10349
"Dan Jennings",543359,"jennida01",8073
"Al Alburquerque",456379,"albural01",6324
"Seth Rosin",519229,"rosinse01",10606
"Dawel Lugo",608475,"lugoda01",14713
"Andrew Triggs",592811,"triggan01",13533
"Chad Huffman",502151,"huffmch01",5311
"Adam Morgan",605388,"morgaad01",12580
"Stevie Wilkerson",592859,"wilkest01",16041
"Jeremy Hazelbaker",571757,"hazelje01",9399
"Kyle McGrath",657681,"mcgraky01",16793
"Troy Tulowitzki",453064,"tulowtr01",3531
"Scott Feldman",444857,"feldmsc01",6283
"Steve Delabar",447755,"delabst01",11827
"Chris Johnson",453400,"johnsch05",1191
"Ryan Strausborger",595005,"straury01",10937
"Mike Montgomery",543557,"montgmi01",4869
"Jack Reinheimer",595373,"reinhja01",14938
"Abel De Los Santos",593582,"delosab01",12962
"Stuart Turner",642156,"turnest01",15207
"Montana DuRapau",657566,"durapmo01",16768
"O'Koyea Dickson",607297,"dicksok01",12677
"Allen Craig",501800,"craigal01",3433
"Danny Duffy",518633,"duffyda01",3542
"Adam McCreery",607030,"mccread01",19550
"Ian Kinsler",435079,"kinslia01",6195
