"playerid","season","mean_pLI","mean_inLI","mean_gmLI","max_pLI","max_inLI","max_gmLI"
9939,2019,1.200845636848,1.00574129741759,1.30067419927687,6.73171997070312,2.34980010986328,4.69960021972656
3096,2015,1.5436732792468,1.48896907808052,1.5859037078917,4.4918999671936,3.74440002441406,4.34800004959106
5032,2015,1.02202256592481,0.811767550185323,0.955305260753161,4.36959981918335,2.23239994049072,3.41440010070801
5508,2015,1.53207667768002,0.923170006275177,1.51078000515699,3.88229990005493,2.23600006103516,4.2992000579834
5508,2016,0.788917488587851,0.542090997353873,0.799987873711595,3.33800005912781,2.14467000961304,3.80679988861084
9059,2017,0.560402360406112,0.624634817750616,0.687345455485311,1.70932996273041,2.32480001449585,2.32480001449585
9059,2018,0.773207889981568,0.73464167047292,0.754176006615162,3.0956699848175,2.3296000957489,2.3296000957489
3677,2016,0.874348665454558,0.606014295348099,0.816657161074025,3.22659993171692,1.36450004577637,2.72900009155273
2660,2016,1.1967528621554,0.951159804542032,1.26622220787599,4.78359985351562,2.90440011024475,5.08839988708496
2660,2018,0.614211290125968,0.438991582783638,0.687975000677397,4.32520008087158,2.16260004043579,4.32520008087158
2660,2017,1.1532905737627,0.924068862151304,1.20265205788796,4.45647001266479,3.47259998321533,4.1048002243042
2660,2015,1.14748128672086,1.06840423398489,1.20073015310816,5.0533299446106,3.5064001083374,5.39200019836426
7293,2017,1.43850713629135,1.1901610046098,1.41783019640255,7.67000007629395,3.83500003814697,7.67000007629395
7293,2015,1.49290982605254,1.44999747023438,1.63315454960772,4.35379981994629,3.74440002441406,4.62580013275146
5746,2016,0.969350103420229,0.640575204355021,0.958364099932787,4.60599994659424,2.31520009040833,4.60599994659424
